Date,daily_return,USDJPY,USDEUR,USDGBP,USDAUD,USDCAD,USDCHF,USDNZD,USDSGD,USDZAR
2010-10-07,0.00013515828840737765,0,0,0,-1.0,1.0,0,0,0,0
2010-10-08,0.012778083172745869,0,0,0,-1.0,1.0,0,0,0,0
2010-10-11,-0.0008350975207676026,0,0,0,-1.0,1.0,0,0,0,0
2010-10-12,-0.0022238510668080025,0,0,0,-1.0,1.0,0,0,0,0
2010-10-13,-0.00010615618990261755,0,0,0,-1.0,1.0,0,0,0,0
2010-10-14,-0.0023905726070315714,0,0,0,-1.0,1.0,0,0,0,0
2010-10-15,0.0031789768029597543,0,0,0,-1.0,1.0,0,0,0,0
2010-10-18,0.004192444118454208,0,0,0,-1.0,1.0,0,0,0,0
2010-10-19,0.004769661668869607,0,0,0,-1.0,1.0,0,0,0,0
2010-10-20,-0.0037936721744429303,0,0,0,-1.0,1.0,0,0,0,0
2010-10-21,0.004883054094548922,0,0,0,-1.0,1.0,0,0,0,0
2010-10-22,-0.0035763219117741496,0,0,0,-1.0,1.0,0,0,0,0
2010-10-25,0.005674095066188767,0,0,0,-1.0,1.0,0,0,0,0
2010-10-26,-0.0006179265183549054,0,0,0,-1.0,1.0,0,0,0,0
2010-10-27,0.0003576422110391775,0,0,0,-1.0,1.0,0,0,0,0
2010-10-28,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-10-29,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-01,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-02,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-03,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-04,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-05,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-08,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-09,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-10,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-11,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-12,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-15,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-16,-0.006231407816322365,0,0,0,-1.0,1.0,0,0,0,0
2010-11-17,0.004213621365688924,0,0,0,-1.0,1.0,0,0,0,0
2010-11-18,0.0071282269379835395,0,0,0,-1.0,1.0,0,0,0,0
2010-11-19,0.0042422056003010855,0,0,0,-1.0,1.0,0,0,0,0
2010-11-22,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-23,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-24,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-11-25,-0.001123164848913616,0,0,0,-1.0,1.0,0,0,0,0
2010-11-26,-0.00877170843595998,0,0,0,-1.0,1.0,0,0,0,0
2010-11-29,-0.0017149828022848812,0,0,0,-1.0,1.0,0,0,0,0
2010-11-30,-0.005015436948668572,0,0,0,-1.0,1.0,0,0,0,0
2010-12-01,0.005121927550336025,0,0,0,-1.0,1.0,0,0,0,0
2010-12-02,-0.0007885004083881819,0,0,0,-1.0,1.0,0,0,0,0
2010-12-03,-0.003328815715757938,0,0,0,-1.0,1.0,0,0,0,0
2010-12-06,0.01447483206850908,0,0,0,-1.0,1.0,0,0,0,0
2010-12-07,-0.00041045988031851444,0,0,0,-1.0,1.0,0,0,0,0
2010-12-08,-0.0005629964472020355,0,0,0,-1.0,1.0,0,0,0,0
